,wall_time,token_acc,token_p,token_r,token_f,pos_acc,tag_acc,ents_p,ents_r,ents_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,ents_excl_MISC_ents_p,ents_excl_MISC_ents_r,ents_excl_MISC_ents_f,dep_uas,dep_las,dep_las_per_type_nummod_p,dep_las_per_type_nummod_r,dep_las_per_type_nummod_f,dep_las_per_type_amod_p,dep_las_per_type_amod_r,dep_las_per_type_amod_f,dep_las_per_type_nmod_p,dep_las_per_type_nmod_r,dep_las_per_type_nmod_f,dep_las_per_type_nsubj_p,dep_las_per_type_nsubj_r,dep_las_per_type_nsubj_f,dep_las_per_type_flat_p,dep_las_per_type_flat_r,dep_las_per_type_flat_f,dep_las_per_type_cc_p,dep_las_per_type_cc_r,dep_las_per_type_cc_f,dep_las_per_type_conj_p,dep_las_per_type_conj_r,dep_las_per_type_conj_f,dep_las_per_type_root_p,dep_las_per_type_root_r,dep_las_per_type_root_f,dep_las_per_type_advmod_p,dep_las_per_type_advmod_r,dep_las_per_type_advmod_f,dep_las_per_type_mark_p,dep_las_per_type_mark_r,dep_las_per_type_mark_f,dep_las_per_type_aux_p,dep_las_per_type_aux_r,dep_las_per_type_aux_f,dep_las_per_type_ccomp_p,dep_las_per_type_ccomp_r,dep_las_per_type_ccomp_f,dep_las_per_type_case_p,dep_las_per_type_case_r,dep_las_per_type_case_f,dep_las_per_type_det_p,dep_las_per_type_det_r,dep_las_per_type_det_f,dep_las_per_type_obl_p,dep_las_per_type_obl_r,dep_las_per_type_obl_f,dep_las_per_type__p,dep_las_per_type__r,dep_las_per_type__f,dep_las_per_type_nmod:poss_p,dep_las_per_type_nmod:poss_r,dep_las_per_type_nmod:poss_f,dep_las_per_type_obj_p,dep_las_per_type_obj_r,dep_las_per_type_obj_f,dep_las_per_type_cop_p,dep_las_per_type_cop_r,dep_las_per_type_cop_f,dep_las_per_type_acl:relcl_p,dep_las_per_type_acl:relcl_r,dep_las_per_type_acl:relcl_f,dep_las_per_type_compound:prt_p,dep_las_per_type_compound:prt_r,dep_las_per_type_compound:prt_f,dep_las_per_type_advcl_p,dep_las_per_type_advcl_r,dep_las_per_type_advcl_f,dep_las_per_type_fixed_p,dep_las_per_type_fixed_r,dep_las_per_type_fixed_f,dep_las_per_type_iobj_p,dep_las_per_type_iobj_r,dep_las_per_type_iobj_f,dep_las_per_type_appos_p,dep_las_per_type_appos_r,dep_las_per_type_appos_f,dep_las_per_type_obl:tmod_p,dep_las_per_type_obl:tmod_r,dep_las_per_type_obl:tmod_f,dep_las_per_type_xcomp_p,dep_las_per_type_xcomp_r,dep_las_per_type_xcomp_f,dep_las_per_type_dep_p,dep_las_per_type_dep_r,dep_las_per_type_dep_f,dep_las_per_type_obl:loc_p,dep_las_per_type_obl:loc_r,dep_las_per_type_obl:loc_f,dep_las_per_type_expl_p,dep_las_per_type_expl_r,dep_las_per_type_expl_f,dep_las_per_type_list_p,dep_las_per_type_list_r,dep_las_per_type_list_f,dep_las_per_type_vocative_p,dep_las_per_type_vocative_r,dep_las_per_type_vocative_f,dep_las_per_type_discourse_p,dep_las_per_type_discourse_r,dep_las_per_type_discourse_f,dep_las_per_type_goeswith_p,dep_las_per_type_goeswith_r,dep_las_per_type_goeswith_f,k,model,augmenter,i
0,3.8235652446746826,0.9995645231528525,0.3449409943896305,0.35578170208520404,0.3502774912823535,0.7625814091178211,0.7625814091178211,0.7275280898876404,0.46415770609318996,0.5667396061269148,0.0,0.0,0.0,0.6842105263157895,0.6770833333333334,0.6806282722513088,0.7696335078534031,0.8166666666666667,0.7924528301886792,0.6714285714285714,0.2919254658385093,0.4069264069264069,0.7275280898876404,0.5926773455377574,0.6532156368221942,0.060560425966761686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,polyglot,No augmentation,0
0,4.040748596191406,0.9989423076923076,0.3316684276246278,0.34450763244537563,0.33796613487325045,0.7176105889878464,0.7176105889878464,0.6757575757575758,0.3996415770609319,0.5022522522522522,0.0,0.0,0.0,0.6375,0.53125,0.5795454545454545,0.7098445595854922,0.7611111111111111,0.7345844504021448,0.6140350877192983,0.21739130434782608,0.3211009174311927,0.6757575757575758,0.5102974828375286,0.5814863102998696,0.06060279870828849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,polyglot,Keystroke errors 2%,1
1,3.946626901626587,0.9990841166546156,0.3350028896166442,0.3470018956400279,0.3408968390100465,0.7183327585357441,0.7183327585357441,0.6361111111111111,0.4103942652329749,0.4989106753812636,0.0,0.0,0.0,0.6705882352941176,0.59375,0.6298342541436465,0.6487804878048781,0.7388888888888889,0.6909090909090909,0.5571428571428572,0.2422360248447205,0.33766233766233766,0.6361111111111111,0.5240274599542334,0.5746549560853199,0.06058649448479957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,polyglot,Keystroke errors 2%,1
2,4.199908971786499,0.9989402697495183,0.3374073717640266,0.3497954704180385,0.34348976192808856,0.716930956367576,0.716930956367576,0.6598837209302325,0.4068100358422939,0.5033259423503326,0.0,0.0,0.0,0.6951219512195121,0.59375,0.6404494382022472,0.6717948717948717,0.7277777777777777,0.6986666666666667,0.582089552238806,0.2422360248447205,0.3421052631578948,0.6598837209302325,0.5194508009153318,0.5813060179257362,0.060279870828848225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,polyglot,Keystroke errors 2%,1
3,4.22637939453125,0.9989879030314713,0.33962445835339433,0.35189065150154647,0.34564876519012155,0.714053494901729,0.714053494901729,0.6491228070175439,0.3978494623655914,0.4933333333333334,0.0,0.0,0.0,0.6666666666666666,0.6041666666666666,0.633879781420765,0.6548223350253807,0.7166666666666667,0.6843501326259948,0.603448275862069,0.21739130434782608,0.319634703196347,0.6491228070175439,0.5080091533180778,0.5699614890885751,0.06048864492519643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,polyglot,Keystroke errors 2%,1
4,3.9563825130462646,0.9989412897016361,0.33554465916738774,0.348199141973461,0.3417547982765374,0.7150876501871184,0.7150876501871184,0.6647058823529411,0.4050179211469534,0.5033407572383073,0.0,0.0,0.0,0.7368421052631579,0.5833333333333334,0.6511627906976745,0.6534653465346535,0.7333333333333333,0.6910994764397905,0.6129032258064516,0.2360248447204969,0.34080717488789236,0.6647058823529411,0.517162471395881,0.5817245817245816,0.060498412185801174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,polyglot,Keystroke errors 2%,1
5,3.851702928543091,0.9990354007909713,0.3371880119495037,0.34909707672353585,0.3430392156862745,0.7153349435599151,0.7153349435599151,0.6569767441860465,0.4050179211469534,0.5011086474501109,0.0,0.0,0.0,0.6666666666666666,0.625,0.6451612903225806,0.6683673469387755,0.7277777777777777,0.6968085106382979,0.603448275862069,0.21739130434782608,0.319634703196347,0.6569767441860465,0.517162471395881,0.5787451984635084,0.06059301512134747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,polyglot,Keystroke errors 2%,1
6,3.9385740756988525,0.9989873173554515,0.3402061855670103,0.35228973361269084,0.34614253504558384,0.7190302552478566,0.7190302552478566,0.6578947368421053,0.4032258064516129,0.4999999999999999,0.0,0.0,0.0,0.6629213483146067,0.6145833333333334,0.6378378378378379,0.671957671957672,0.7055555555555556,0.6883468834688347,0.609375,0.2422360248447205,0.3466666666666667,0.6578947368421053,0.5148741418764302,0.5776636713735559,0.06048864492519643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,polyglot,Keystroke errors 2%,1
7,3.8630123138427734,0.999133949191686,0.3346793577540621,0.3473012072233862,0.34087348217783,0.718350068911203,0.718350068911203,0.6646884272997032,0.4014336917562724,0.5005586592178771,0.0,0.0,0.0,0.686046511627907,0.6145833333333334,0.6483516483516484,0.6701030927835051,0.7222222222222222,0.6951871657754011,0.6140350877192983,0.21739130434782608,0.3211009174311927,0.6646884272997032,0.5125858123569794,0.578811369509044,0.060589754627636674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,polyglot,Keystroke errors 2%,1
8,4.122110843658447,0.9990375360923965,0.33471153846153845,0.3473012072233862,0.34089017284434214,0.7154103522928557,0.7154103522928557,0.6270718232044199,0.4068100358422939,0.4934782608695652,0.0,0.0,0.0,0.648936170212766,0.6354166666666666,0.6421052631578947,0.6650485436893204,0.7611111111111111,0.7098445595854923,0.46774193548387094,0.18012422360248448,0.2600896860986547,0.6270718232044199,0.5194508009153318,0.5682102628285357,0.06059627596598859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,polyglot,Keystroke errors 2%,1
9,3.8360419273376465,0.9986498215835664,0.3392083212944236,0.35139179886261596,0.34519259041458394,0.7143560941964726,0.7143560941964726,0.6798780487804879,0.3996415770609319,0.5033860045146727,0.0,0.0,0.0,0.6705882352941176,0.59375,0.6298342541436465,0.6898395721925134,0.7166666666666667,0.7029972752043597,0.6607142857142857,0.22981366459627328,0.3410138248847926,0.6798780487804879,0.5102974828375286,0.5830065359477125,0.06040702056638311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,polyglot,Keystroke errors 2%,1
10,3.9949562549591064,0.9990355868454046,0.340976972733404,0.35308789783497957,0.3469267718851093,0.7187900285742438,0.7187900285742438,0.6786786786786787,0.4050179211469534,0.5072951739618407,0.0,0.0,0.0,0.6590909090909091,0.6041666666666666,0.6304347826086956,0.6984126984126984,0.7333333333333333,0.7154471544715446,0.6428571428571429,0.2236024844720497,0.3317972350230415,0.6786786786786787,0.517162471395881,0.5870129870129871,0.06038101388440426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,polyglot,Keystroke errors 2%,1
11,3.8375415802001953,0.9990383690739494,0.3341339225670093,0.3470018956400279,0.34044635865309314,0.717744316504281,0.717744316504281,0.6539589442815249,0.3996415770609319,0.4961067853170189,0.0,0.0,0.0,0.6590909090909091,0.6041666666666666,0.6304347826086956,0.6614583333333334,0.7055555555555556,0.6827956989247311,0.6229508196721312,0.2360248447204969,0.34234234234234234,0.6539589442815249,0.5102974828375286,0.5732647814910026,0.06038101388440426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,polyglot,Keystroke errors 2%,1
12,3.853516101837158,0.9989883905775808,0.3383060635226179,0.3506934051681133,0.3443883799539509,0.7153478753262101,0.7153478753262101,0.6095505617977528,0.3888888888888889,0.47483588621444206,0.0,0.0,0.0,0.6777777777777778,0.6354166666666666,0.6559139784946236,0.6069651741293532,0.6777777777777778,0.6404199475065617,0.5230769230769231,0.2111801242236025,0.3008849557522124,0.6095505617977528,0.4965675057208238,0.5472887767969735,0.060276626661643615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,polyglot,Keystroke errors 2%,1
13,3.956618309020996,0.9987466255302739,0.33567645642753974,0.34780005986231666,0.3416307330458644,0.7175219147050131,0.7175219147050131,0.6578947368421053,0.4032258064516129,0.4999999999999999,0.0,0.0,0.0,0.6,0.53125,0.5635359116022098,0.6852791878172588,0.75,0.716180371352785,0.65,0.2422360248447205,0.3529411764705882,0.6578947368421053,0.5148741418764302,0.5776636713735559,0.060501668640327265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,polyglot,Keystroke errors 2%,1
14,4.093177318572998,0.9993276342330227,0.33106162411211365,0.34410855033423127,0.3374590284232669,0.7189651780444619,0.7189651780444619,0.6529411764705882,0.3978494623655914,0.49443207126948774,0.0,0.0,0.0,0.6951219512195121,0.59375,0.6404494382022472,0.6428571428571429,0.7,0.6702127659574467,0.6290322580645161,0.2422360248447205,0.34977578475336324,0.6529411764705882,0.5080091533180778,0.5714285714285715,0.060576716160964064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,polyglot,Keystroke errors 2%,1
15,3.869835138320923,0.9987961669957144,0.33762985763755293,0.35019455252918286,0.343797443557471,0.7144686299615878,0.7144686299615878,0.6511627906976745,0.4014336917562724,0.4966740576496674,0.0,0.0,0.0,0.6190476190476191,0.5416666666666666,0.5777777777777778,0.6751269035532995,0.7388888888888889,0.7055702917771884,0.6190476190476191,0.2422360248447205,0.34821428571428575,0.6511627906976745,0.5125858123569794,0.5736235595390526,0.060504925445443294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,polyglot,Keystroke errors 2%,1
16,4.03083062171936,0.9987469879518073,0.338371197535618,0.3506934051681133,0.3444221253245799,0.7145883628122381,0.7145883628122381,0.6482558139534884,0.3996415770609319,0.4944567627494457,0.0,0.0,0.0,0.6666666666666666,0.6041666666666666,0.633879781420765,0.6446700507614214,0.7055555555555556,0.6737400530503979,0.6333333333333333,0.2360248447204969,0.3438914027149321,0.6482558139534884,0.5102974828375286,0.5710627400768247,0.060619111709286674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,polyglot,Keystroke errors 2%,1
